院校名称,院校所在地,院校隶属,院校类型,学历层次,院校特性,是否有研究生院,满意度
北京大学,北京,教育部,综合,本科,985/211,有,4.7
中国人民大学,北京,教育部,综合,本科,985/211,有,4.8
清华大学,北京,教育部,工科,本科,985/211,有,4.8
北京交通大学,北京,教育部,工科,本科/高职(专科),,有,4.4
北京工业大学,北京,北京市教育委员会,工科,本科/高职(专科),,,4.4
北京航空航天大学,北京,工业和信息化部,工科,本科,985/211,有,4.5
北京理工大学,北京,工业和信息化部,工科,本科,985/211,有,4.5
北京科技大学,北京,教育部,工科,本科/高职(专科),,有,4.5
北方工业大学,北京,北京市教育委员会,工科,本科,,,4.5
北京化工大学,北京,教育部,工科,本科/高职(专科),,,4.1
北京工商大学,北京,北京市教育委员会,财经,本科,,,4.2
北京服装学院,北京,北京市教育委员会,工科,本科,,,4.2
北京邮电大学,北京,教育部,工科,本科,,有,4.3
北京印刷学院,北京,北京市教育委员会,工科,本科/高职(专科),,,4.2
北京建筑大学,北京,北京市教育委员会,工科,本科,,,4.2
北京石油化工学院,北京,北京市教育委员会,工科,本科,,,3.8
北京电子科技学院,北京,中共中央办公厅,工科,本科,,,4.8
中国农业大学,北京,教育部,农业,本科,985/211,有,4.7
北京农学院,北京,北京市教育委员会,农业,本科/高职(专科),,,3.9
北京林业大学,北京,教育部,林业,本科,,有,4.4
北京协和医学院(清华大学医学部),北京,国家卫生健康委员会,医药,本科/高职(专科),985/211,有,4.2
首都医科大学,北京,北京市教育委员会,医药,本科/高职(专科),,,4.0
北京中医药大学,北京,教育部,医药,本科/高职(专科),,,3.8
北京师范大学,北京,教育部,师范,本科,985/211,有,4.5
首都师范大学,北京,北京市教育委员会,师范,本科,,,4.0
首都体育学院,北京,北京市教育委员会,体育,本科,,,4.2
北京外国语大学,北京,教育部,语言,本科,,,4.3
北京第二外国语学院,北京,北京市教育委员会,语言,本科,,,4.3
北京语言大学,北京,教育部,语言,本科,,,4.1
中国传媒大学,北京,教育部,语言,本科/高职(专科),,,4.5
中央财经大学,北京,教育部,财经,本科,,,4.2
对外经济贸易大学,北京,教育部,财经,本科,,,4.7
北京物资学院,北京,北京市教育委员会,财经,本科,,,4.0
首都经济贸易大学,北京,北京市教育委员会,财经,本科/高职(专科),,,4.2
中国消防救援学院,北京,应急管理部,综合,本科,,,--
外交学院,北京,外交部,语言,本科,,,4.1
中国人民公安大学,北京,公安部,政法,本科,,,4.4
国际关系学院,北京,其他主管部门1,综合,本科,,,4.2
北京体育大学,北京,国家体育总局,体育,本科,,,4.0
中央音乐学院,北京,教育部,艺术,本科,,,4.7
中国音乐学院,北京,北京市教育委员会,艺术,本科,,,4.3
中央美术学院,北京,教育部,艺术,本科/高职(专科),,,4.6
中央戏剧学院,北京,教育部,艺术,本科/高职(专科),,,4.8
中国戏曲学院,北京,北京市教育委员会,艺术,本科,,,4.6
北京电影学院,北京,北京市教育委员会,艺术,本科,,,4.6
北京舞蹈学院,北京,北京市教育委员会,艺术,本科,,,4.5
中央民族大学,北京,国家民族事务委员会,民族,本科,985/211,,4.2
中国政法大学,北京,教育部,政法,本科,,,4.5
华北电力大学(北京),北京,教育部,工科,本科,,,4.3
北京工业职业技术学院,北京,北京市教育委员会,工科,高职(专科),,,4.1
北京信息职业技术学院,北京,北京市教育委员会,工科,高职(专科),,,3.7
北京电子科技职业学院,北京,北京市教育委员会,工科,高职(专科),,,3.4
北京京北职业技术学院,北京,北京市教育委员会,工科,高职(专科),,,3.5
首都经济贸易大学密云分校,北京,北京市教育委员会,财经,高职(专科),,,3.4
中华女子学院,北京,中华全国妇女联合会,语言,本科/高职(专科),,,4.3
北京信息科技大学,北京,北京市教育委员会,工科,本科,,,3.9
中国矿业大学(北京),北京,教育部,工科,本科,,有,4.3
中国石油大学(北京),北京,教育部,工科,本科,,有,4.2
中国地质大学(北京),北京,教育部,工科,本科,,有,4.3
北京联合大学,北京,北京市教育委员会,综合,本科/高职(专科),,,3.6
